,Date,UPRO,Unnamed: 2,URPO_PRICES
0,5/20/86,3.7%,,1.037
1,5/21/86,-0.7%,,1.029741
2,5/22/86,5.9%,,1.090495719
3,5/23/86,1.4%,,1.105762659066
4,5/27/86,4.2%,,1.152204690746772
5,5/28/86,2.3%,,1.1787053986339477
6,5/29/86,1.5%,,1.1963859796134568
7,5/30/86,-0.7%,,1.1880112777561627
8,6/2/86,-2.8%,,1.15474696197899
9,6/3/86,0.6%,,1.161675443750864
10,6/4/86,-1.9%,,1.1396036103195977
11,6/5/86,2.0%,,1.1623956825259896
12,6/6/86,0.1%,,1.1635580782085155
13,6/9/86,-6.9%,,1.083272570812128
14,6/10/86,-0.4%,,1.0789394805288794
15,6/11/86,1.9%,,1.099439330658928
16,6/12/86,0.4%,,1.1038370879815638
17,6/13/86,5.1%,,1.1601327794686234
18,6/16/86,0.3%,,1.163613177807029
19,6/17/86,-2.2%,,1.1380136878952745
20,6/18/86,0.7%,,1.1459797837105412
21,6/19/86,-1.2%,,1.1322280263060147
22,6/20/86,4.2%,,1.1797816034108675
23,6/23/86,-2.9%,,1.1455679369119522
24,6/24/86,2.3%,,1.171915999460927
25,6/25/86,2.3%,,1.1988700674485282
26,6/26/86,-0.3%,,1.1952734572461825
27,6/27/86,1.1%,,1.2084214652758904
28,6/30/86,1.4%,,1.2253393657897529
29,7/1/86,1.4%,,1.2424941169108095
30,7/2/86,0.8%,,1.2524340698460958
31,7/3/86,-1.1%,,1.2386572950777888
32,7/7/86,-9.3%,,1.1234621666355544
33,7/8/86,-3.1%,,1.0886348394698522
34,7/9/86,1.6%,,1.10605299690137
35,7/10/86,0.1%,,1.107159049898271
36,7/11/86,-0.9%,,1.0971946184491865
37,7/14/86,-5.2%,,1.0401404982898288
38,7/15/86,-5.7%,,0.9808524898873086
39,7/16/86,1.7%,,0.9975269822153927
40,7/17/86,1.4%,,1.0114923599664083
41,7/18/86,0.3%,,1.0145268370463074
42,7/21/86,-0.2%,,1.0124977833722149
43,7/22/86,2.4%,,1.0367977301731481
44,7/23/86,0.7%,,1.04405531428436
45,7/24/86,-1.1%,,1.032570705827232
46,7/25/86,2.9%,,1.0625152562962217
47,7/28/86,-5.3%,,1.006201947712522
48,7/29/86,-1.8%,,0.9880903126536965
49,7/30/86,2.7%,,1.0147687510953463
50,7/31/86,-0.6%,,1.0086801385887743
51,8/1/86,-1.6%,,0.9925412563713538
52,8/4/86,1.4%,,1.0064368339605527
53,8/5/86,1.4%,,1.0205269496360005
54,8/6/86,-0.3%,,1.0174653687870925
55,8/7/86,0.4%,,1.021535230262241
56,8/8/86,-0.2%,,1.0194921598017164
57,8/11/86,4.8%,,1.0684277834721987
58,8/12/86,3.4%,,1.1047543281102534
59,8/13/86,2.8%,,1.1356874492973406
60,8/14/86,0.6%,,1.1425015739931246
61,8/15/86,1.1%,,1.155069091307049
62,8/18/86,0.3%,,1.15853429858097
63,8/19/86,-1.0%,,1.1469489555951602
64,8/20/86,3.9%,,1.1916799648633714
65,8/21/86,-0.1%,,1.1904882848985079
66,8/22/86,0.5%,,1.1964407263230004
67,8/25/86,-2.8%,,1.1629403859859564
68,8/26/86,6.0%,,1.232716809145114
69,8/27/86,0.6%,,1.2401131099999847
70,8/28/86,-0.6%,,1.2326724313399848
71,8/29/86,0.1%,,1.2339051037713247
72,9/2/86,-5.3%,,1.1685081332714444
73,9/3/86,1.8%,,1.1895412796703304
74,9/4/86,4.6%,,1.2442601785351657
75,9/5/86,-4.0%,,1.194489771393759
