,Unnamed: 0,Date,UPRO,Unnamed: 2,URPO_PRICES
0,0,1986-05-20,3.7%,,1.037
1,1,1986-05-21,-0.7%,,1.029741
2,2,1986-05-22,5.9%,,1.090495719
3,3,1986-05-23,1.4%,,1.105762659066
4,4,1986-05-27,4.2%,,1.152204690746772
5,5,1986-05-28,2.3%,,1.1787053986339475
6,6,1986-05-29,1.5%,,1.1963859796134568
7,7,1986-05-30,-0.7%,,1.1880112777561629
8,8,1986-06-02,-2.8%,,1.15474696197899
9,9,1986-06-03,0.6%,,1.161675443750864
10,10,1986-06-04,-1.9%,,1.1396036103195977
11,11,1986-06-05,2.0%,,1.1623956825259896
12,12,1986-06-06,0.1%,,1.1635580782085155
13,13,1986-06-09,-6.9%,,1.083272570812128
14,14,1986-06-10,-0.4%,,1.0789394805288794
15,15,1986-06-11,1.9%,,1.099439330658928
16,16,1986-06-12,0.4%,,1.1038370879815638
17,17,1986-06-13,5.1%,,1.1601327794686234
18,18,1986-06-16,0.3%,,1.163613177807029
19,19,1986-06-17,-2.2%,,1.1380136878952745
20,20,1986-06-18,0.7%,,1.1459797837105412
21,21,1986-06-19,-1.2%,,1.1322280263060147
22,22,1986-06-20,4.2%,,1.1797816034108677
23,23,1986-06-23,-2.9%,,1.1455679369119522
24,24,1986-06-24,2.3%,,1.171915999460927
25,25,1986-06-25,2.3%,,1.1988700674485282
26,26,1986-06-26,-0.3%,,1.1952734572461825
27,27,1986-06-27,1.1%,,1.2084214652758904
28,28,1986-06-30,1.4%,,1.2253393657897529
29,29,1986-07-01,1.4%,,1.2424941169108097
30,30,1986-07-02,0.8%,,1.2524340698460958
31,31,1986-07-03,-1.1%,,1.2386572950777888
32,32,1986-07-07,-9.3%,,1.1234621666355544
33,33,1986-07-08,-3.1%,,1.0886348394698522
34,34,1986-07-09,1.6%,,1.10605299690137
35,35,1986-07-10,0.1%,,1.107159049898271
36,36,1986-07-11,-0.9%,,1.0971946184491863
37,37,1986-07-14,-5.2%,,1.0401404982898288
38,38,1986-07-15,-5.7%,,0.9808524898873086
39,39,1986-07-16,1.7%,,0.9975269822153928
40,40,1986-07-17,1.4%,,1.0114923599664083
41,41,1986-07-18,0.3%,,1.0145268370463074
42,42,1986-07-21,-0.2%,,1.0124977833722149
43,43,1986-07-22,2.4%,,1.036797730173148
44,44,1986-07-23,0.7%,,1.04405531428436
45,45,1986-07-24,-1.1%,,1.032570705827232
46,46,1986-07-25,2.9%,,1.0625152562962217
47,47,1986-07-28,-5.3%,,1.006201947712522
48,48,1986-07-29,-1.8%,,0.9880903126536964
49,49,1986-07-30,2.7%,,1.0147687510953465
50,50,1986-07-31,-0.6%,,1.0086801385887745
51,51,1986-08-01,-1.6%,,0.9925412563713538
52,52,1986-08-04,1.4%,,1.0064368339605527
53,53,1986-08-05,1.4%,,1.0205269496360003
54,54,1986-08-06,-0.3%,,1.0174653687870925
55,55,1986-08-07,0.4%,,1.021535230262241
56,56,1986-08-08,-0.2%,,1.0194921598017164
57,57,1986-08-11,4.8%,,1.068427783472199
58,58,1986-08-12,3.4%,,1.1047543281102534
59,59,1986-08-13,2.8%,,1.1356874492973406
60,60,1986-08-14,0.6%,,1.1425015739931246
61,61,1986-08-15,1.1%,,1.155069091307049
62,62,1986-08-18,0.3%,,1.15853429858097
63,63,1986-08-19,-1.0%,,1.1469489555951602
64,64,1986-08-20,3.9%,,1.1916799648633714
65,65,1986-08-21,-0.1%,,1.190488284898508
66,66,1986-08-22,0.5%,,1.1964407263230004
67,67,1986-08-25,-2.8%,,1.1629403859859564
68,68,1986-08-26,6.0%,,1.232716809145114
69,69,1986-08-27,0.6%,,1.2401131099999847
70,70,1986-08-28,-0.6%,,1.2326724313399848
71,71,1986-08-29,0.1%,,1.233905103771325
72,72,1986-09-02,-5.3%,,1.1685081332714444
73,73,1986-09-03,1.8%,,1.1895412796703304
74,74,1986-09-04,4.6%,,1.2442601785351657
75,75,1986-09-05,-4.0%,,1.194489771393759
76,76,1986-09-08,-2.8%,,1.1610440577947336
77,77,1986-09-09,-0.5%,,1.15523883750576
78,78,1986-09-10,-0.8%,,1.145996926805714
79,79,1986-09-11,-14.4%,,0.9809733693456912
80,80,1986-09-12,-5.7%,,0.9250578872929868
81,81,1986-09-15,1.6%,,0.9398588134896744
82,82,1986-09-16,-0.2%,,0.9379790958626952
83,83,1986-09-17,0.0%,,0.9379790958626952
84,84,1986-09-18,0.7%,,0.944544949533734
85,85,1986-09-19,-0.2%,,0.9426558596346664
86,86,1986-09-22,3.4%,,0.9747061588622452
87,87,1986-09-23,0.9%,,0.9834785142920052
88,88,1986-09-24,1.0%,,0.9933132994349252
89,89,1986-09-25,-5.7%,,0.9366944413671344
90,90,1986-09-26,0.4%,,0.940441219132603
91,91,1986-09-29,-3.0%,,0.9122279825586248
92,92,1986-09-30,1.9%,,0.9295603142272388
93,93,1986-10-01,2.9%,,0.9565175633398286
94,94,1986-10-02,0.4%,,0.960343633593188
95,95,1986-10-03,-0.4%,,0.9565022590588153
96,96,1986-10-06,1.4%,,0.9698932906856388
97,97,1986-10-07,-0.5%,,0.9650438242322104
98,98,1986-10-08,2.9%,,0.9930300951349444
99,99,1986-10-09,-1.2%,,0.9811137339933252
100,100,1986-10-10,-0.4%,,0.977189279057352
101,101,1986-10-13,0.4%,,0.9810980361735812
102,102,1986-10-14,-0.7%,,0.9742303499203662
103,103,1986-10-15,4.4%,,1.0170964853168625
104,104,1986-10-16,0.9%,,1.0262503536847138
105,105,1986-10-17,-1.0%,,1.0159878501478667
106,106,1986-10-20,-3.7%,,0.9783962996923956
107,107,1986-10-21,-0.2%,,0.9764395070930108
108,108,1986-10-22,0.4%,,0.9803452651213828
